cave_id,name,inventory_number,latitude,longitude,pgi_id,pgi_name,pgi_latitude,pgi_longitude,lat_diff,lon_diff,distance_m,lat_abs_diff,lon_abs_diff
390,Grota w Mechowej,NP-01,54.71351388931275,18.28466666671965,390,Grota w Mechowej,54.713513931979925,18.284666701740885,-4.2667174682264886e-08,-3.50212339128575e-08,0.005250665332338022,4.2667174682264886e-08,3.50212339128575e-08
391,Schronisko w Połchowie,NP-02,54.64328333324856,18.373113888634578,391,Schronisko w Połchowie,54.643282957669186,18.37311275444953,3.755793755999548e-07,1.134185048101699e-06,0.08408330777302453,3.755793755999548e-07,1.134185048101699e-06
392,Jaskinia w Kępie Redłowskiej,NP-03,54.48936666647593,18.56513888888889,392,Jaskinia w Kępie Redłowskiej,54.48936761784068,18.565139797361617,-9.513647469816533e-07,-9.084727281560845e-07,0.12097025085621288,9.513647469816533e-07,9.084727281560845e-07
393,Jaskinia Śpiącego Szweda,NP-04,54.466836111115086,18.561849999957616,393,Jaskinia Śpiącego Szweda,54.466835781451906,18.56185052575197,3.2966318030958064e-07,-5.257943556102873e-07,0.04998280125608299,3.2966318030958064e-07,5.257943556102873e-07
394,Czarcie Okna,NP-05,53.057925000190735,15.17933888859219,394,Czarcie Okna,53.05792607880321,15.179339815704402,-1.0786124775563621e-06,-9.271122127785247e-07,0.1349943996968547,1.0786124775563621e-06,9.271122127785247e-07
395,Nisze nad Czarcimi Oknami,NP-06,53.05815277788374,15.177849999533759,395,Nisze nad Czarcimi Oknami,53.05815297357417,15.177849309376326,-1.9569042564171468e-07,6.901574334250427e-07,0.050997560512013144,1.9569042564171468e-07,6.901574334250427e-07
396,Grota Mirachowska I,NP-07,54.38305277824402,18.003872222105663,396,Grota Mirachowska I,54.38305279219769,18.003872268662736,-1.3953666666566278e-08,-4.655707286360666e-08,0.0033906741894852116,1.3953666666566278e-08,4.655707286360666e-08
397,Grota Mirachowska II,NP-08,54.41086111068726,17.994583333333335,397,Grota Mirachowska II,54.410861111133705,17.994583332670608,-4.4644821173278615e-10,6.627267623571242e-10,6.56021246449083e-05,4.4644821173278615e-10,6.627267623571242e-10
398,Jaskinia Bajka I,NP-09,53.219666666719654,18.176472222010297,398,Jaskinia Bajka I,53.219666649476686,18.1764721741836,1.7242967942365794e-08,4.782669549285856e-08,0.003716889363257566,1.7242967942365794e-08,4.782669549285856e-08
399,Jaskinia Bajka II,NP-10,53.219736111164096,18.176444444656372,399,Jaskinia Bajka II,53.219736146501944,18.176444472938066,-3.533784820319852e-08,-2.82816934316088e-08,0.004357238399691588,3.533784820319852e-08,2.82816934316088e-08
401,Jaskinia Klonowa,NP-12,53.5124527782864,18.793788888719348,401,Jaskinia Klonowa,53.512452077976285,18.79378770180682,7.003101174518633e-07,1.1869125273733516e-06,0.11055824664061212,7.003101174518633e-07,1.1869125273733516e-06
402,Jaskinia pod Wierzbą,NP-13,53.51241666687859,18.791905555725098,402,Jaskinia pod Wierzbą,53.51241728918487,18.79190484662688,-6.223062740673413e-07,7.090982165891546e-07,0.08358618304371225,6.223062740673413e-07,7.090982165891546e-07
403,Płaska Nisza,NP-14,53.54593333350287,18.843347222010294,403,Płaska Nisza,53.54593417955028,18.84334855309595,-8.460474063554102e-07,-1.3310856559201056e-06,0.12878092220856913,8.460474063554102e-07,1.3310856559201056e-06
404,Ciasna Dziura,NP-15,53.51004166709052,18.951291666693155,404,Ciasna Dziura,53.51004166452296,18.95129171156936,2.5675603865238372e-09,-4.487620586246521e-08,0.002981168710074172,2.5675603865238372e-09,4.487620586246521e-08
406,Szczelina w Kurowie,NP-17,53.104916666878594,22.789569444656372,406,Szczelina w Kurowie,53.1049172645228,22.789570411362423,-5.976442025712458e-07,-9.667060503204539e-07,0.09263280929091185,5.976442025712458e-07,9.667060503204539e-07
407,Dziura w Maruszynie,P-01.02,49.42285277790493,19.93498333334923,407,Dziura w Maruszynie,49.42285277994153,19.934983359350277,-2.0366002217997448e-09,-2.6001046649071213e-08,0.0018942183884918969,2.0366002217997448e-09,2.6001046649071213e-08
408,Schronisko w Szaflarach,P-01.03,49.43833333333333,20.014722222222222,408,Schronisko w Szaflarach,49.43833329290061,20.014722247031298,4.043272383569274e-08,-2.4809075682696857e-08,0.0048405730125155805,4.043272383569274e-08,2.4809075682696857e-08
409,Jaskinia w Szaflarach,P-01.04,49.43833333333333,20.01527777777778,409,Jaskinia w Szaflarach,49.43833336588797,20.015277750237555,-3.255463809637149e-08,2.7540224323274742e-08,0.004131483207716483,3.255463809637149e-08,2.7540224323274742e-08
410,Jaskinia w Obłazowej,P-02.01,49.42861111111111,20.12587222205268,410,Jaskinia w Obłazowej,49.42861111180434,20.125872272387387,-6.932268092896265e-10,-5.0334705292698345e-08,0.0036410532361193285,6.932268092896265e-10,5.0334705292698345e-08
411,Schronisko w Obłazowej I,P-02.02,49.42866666687859,20.126602777904935,411,Schronisko w Obłazowej I,49.42866671228298,20.126602760309876,-4.540439135780616e-08,1.7595059631503318e-08,0.0052066274945132525,4.540439135780616e-08,1.7595059631503318e-08
412,Schronisko w Obłazowej II,P-02.03,49.42874444431729,20.126955555809868,412,Schronisko w Obłazowej II,49.428744436189504,20.12695549133848,8.127784667522064e-09,6.447138645171435e-08,0.004749380774691331,8.127784667522064e-09,6.447138645171435e-08
413,Schronisko w Kramnicy,P-02.05,49.428888888888885,20.1325,413,Schronisko w Kramnicy,49.428888849635506,20.132499952237502,3.925337921373284e-08,4.776249795668264e-08,0.005566213602126431,3.925337921373284e-08,4.776249795668264e-08
414,Schronisko Wodne pod Kramnicą,P-02.06,49.42927777820163,20.13016666624281,414,Schronisko Wodne pod Kramnicą,49.4292778032072,20.13016672452405,-2.5005569170843955e-08,-5.8281237613755366e-08,0.0050493894296797315,2.5005569170843955e-08,5.8281237613755366e-08
