NR_INWENT,NAZWA,REGION,GMINA,WLASCICIEL,DLUGOSC,GLEBOKOSC,PRZEWYZSZE,DENIWELACJ,OSUWISKOWA,X_1992,Y_1992,ID,ROK_AKTUAL,lon,lat
T.E-07.48,Szczelina w Uwozisku,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,6.5,0.0,0.0,0.0,0,562253.52,152392.74,1357,2010,19.85543313285991,49.23587568519832
T.D-05.07,Szczelina w Dudzińcu,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,4.0,0.0,0.0,0.0,0,559670.52,153678.88,1176,2010,19.820135329755125,49.24770446645346
T.D-08.43,Sowia Jama II,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,2.5,0.0,0.0,0.0,0,562859.16,153682.26,1132,2010,19.863956696091797,49.247415465320316
T.D-08.32,Schron przed Sową I,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,7.5,0.0,2.7,2.7,0,562915.09,153721.72,1121,2010,19.86473152474179,49.24776473221323
T.D-06.15,Nisza przy Szemrzącym Schronie I,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,3.8,0.0,0.0,0.0,0,561172.33,153398.73,1085,2010,19.840731699537,49.24503559972309
T.D-08.62,Szczelina z Mostkiem,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,9.5,0.0,6.8,6.8,0,563222.66,153619.9,1171,2010,19.86894231003112,49.246816951359364
T.E-08.63,Nyża w Smytniej,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,4.0,0.0,0.0,0.0,0,562508.24,152399.48,1439,2010,19.85893391057908,49.23591035472945
T.E-06.09,Komórka nad Smytnią,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,14.0,0.0,1.4,1.4,0,561039.61,153125.33,1331,2010,19.838866175618826,49.242589087369005
T.D-18.06,Dziura pod Jaskinią Magurską,Tatry,Zakopane (gm. miejska),Skarb Państwa,16.0,1.2,1.6,2.8,0,572563.36,154141.89,1278,2010,19.99739787389739,49.25047621968808
T.D-08.09,Okna Zbójnickie Niżnie,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,160.0,2.5,12.0,16.5,0,563218.65,153885.69,1096,2010,19.86892916946497,49.24920864994969
J.Olk.I-09.25,Jaskinia Beczkowa,Wyżyna Śląsko-Krakowska,Krzeszowice (gm. miejsko-wiejska),Skarb Państwa (Lasy Państwowe),50.0,16.0,0.0,16.0,0,548716.99,256340.43,11084,2017,19.68241669843762,50.17227781415862
K.Bż-05.36,Dwupiętrowa Koleba,Karpaty,Zawoja (gm. wiejska),Skarb Państwa (Lasy Państwowe),4.5,1.0,0.0,1.0,1,546296.59,196229.56,10162,2015,19.64130549205857,49.63169445774153
T.D-12.16,Nyża z Kozicami,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,8.0,0.0,0.0,0.0,0,566414.09,153820.48,1246,2010,19.912833397840426,49.24828330553148
T.E-08.25,Jaskinia Ziobrowa,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,160.0,1.6,17.0,18.6,0,562858.16,152736.38,1363,2013,19.86379449538946,49.23890556878304
T.E-12.73,Dziura nad Śnieżną Studnią,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,5.6,2.5,0.0,2.5,0,567089.65,153020.36,11055,2017,19.921983381464237,49.241011077960216
T.D-17.15,Dziura pod Kamieniem,Tatry,Zakopane (gm. miejska),Skarb Państwa,2.9,0.0,1.3,1.3,0,571327.17,154279.12,1267,2010,19.9804332814687,49.25185625601263
T.D-08.08,Jaskinia Zimna,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,5335.0,156.0,20.0,176.0,0,563104.43,153931.27,1095,2014,19.867366609225954,49.249630524853345
T.E-05.08,Schron Zachodni w Iwanówce,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,6.0,0.0,0.0,0.0,0,559680.43,153039.4,1295,2010,19.820176219124903,49.241950091260925
T.D-06.13,Szczelina przed Kufą,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,3.0,0.0,1.0,1.0,0,561009.33,153514.37,1083,2010,19.838509353705305,49.24609228921063
T.E-07.30,Schron z Kołem,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,19.0,0.0,7.0,7.0,0,562057.07,153017.29,1330,2010,19.852830755546698,49.241514683902636
T.E-08.36,Szczelina nad Żlebem,Tatry,Kościelisko (gm. wiejska),Skarb Państwa,8.0,0.0,1.1,1.1,0,562605.12,152704.92,1405,2010,19.860312724880284,49.238648471807046
